Date,Close/Last,Volume,Open,High,Low
02/28/2023,32656.70,N/A,32873.47,32873.47,32636.43
02/27/2023,32889.09,N/A,32906.16,33189.28,32814.18
02/24/2023,32816.92,N/A,32999.19,32999.19,32643.48
02/23/2023,33153.91,N/A,33175.39,33272.40,32795.67
02/22/2023,33045.09,N/A,33169.33,33245.97,32948.27
02/21/2023,33129.59,N/A,33699.69,33699.69,33115.74
02/17/2023,33826.69,N/A,33677.01,33846.64,33517.73
02/16/2023,33696.85,N/A,33992.09,34041.16,33686.59
02/15/2023,34128.05,N/A,34008.63,34130.49,33833.10
02/14/2023,34089.27,N/A,34194.09,34331.47,33827.45
02/13/2023,34245.93,N/A,33887.39,34249.60,33887.39
02/10/2023,33869.27,N/A,33671.54,33897.31,33591.99
02/09/2023,33699.88,N/A,34105.61,34252.57,33607.13
02/08/2023,33949.01,N/A,34132.90,34161.65,33899.79
02/07/2023,34156.69,N/A,33769.78,34240.00,33634.10
02/06/2023,33891.02,N/A,33874.44,33962.84,33683.58
02/03/2023,33926.01,N/A,33926.30,34179.58,33813.86
02/02/2023,34053.94,N/A,34129.30,34145.14,33814.78
02/01/2023,34092.96,N/A,34039.60,34334.70,33581.42
01/31/2023,34086.04,N/A,33803.56,34095.23,33664.91
01/30/2023,33717.09,N/A,33909.21,34055.29,33695.18
01/27/2023,33978.08,N/A,33952.93,34164.33,33830.85
01/26/2023,33949.41,N/A,33771.66,33953.79,33635.60
01/25/2023,33743.84,N/A,33538.36,33773.09,33273.21
01/24/2023,33733.96,N/A,33444.72,33782.92,33310.56
01/23/2023,33629.56,N/A,33439.56,33782.88,33316.25
01/20/2023,33375.49,N/A,33073.46,33381.95,32948.93
01/19/2023,33044.56,N/A,33171.35,33227.49,32982.05
01/18/2023,33296.96,N/A,33948.49,34016.53,33269.90
01/17/2023,33910.85,N/A,34222.32,34269.97,33860.67
01/13/2023,34302.61,N/A,34075.31,34342.32,33915.49
01/12/2023,34189.97,N/A,34047.86,34292.67,33792.10
01/11/2023,33973.01,N/A,33754.03,33974.69,33711.04
01/10/2023,33704.10,N/A,33516.43,33726.54,33421.80
01/09/2023,33517.65,N/A,33664.39,33935.11,33487.66
01/06/2023,33630.61,N/A,33055.30,33710.66,32997.39
01/05/2023,32930.08,N/A,33191.72,33191.72,32812.33
01/04/2023,33269.77,N/A,33165.14,33409.10,33033.48
01/03/2023,33136.37,N/A,33148.90,33387.52,32850.57
12/30/2022,33147.25,N/A,33121.61,33152.55,32847.82
12/29/2022,33220.80,N/A,33021.43,33293.42,33020.35
12/28/2022,32875.71,N/A,33264.76,33379.55,32869.15
12/27/2022,33241.56,N/A,33224.23,33387.72,33069.58
12/23/2022,33203.93,N/A,32961.06,33226.14,32814.02
12/22/2022,33027.49,N/A,33233.35,33233.35,32573.43
12/21/2022,33376.48,N/A,33028.09,33437.84,33028.09
12/20/2022,32849.74,N/A,32735.24,32992.23,32649.45
12/19/2022,32757.54,N/A,32921.45,33038.94,32581.97
12/16/2022,32920.46,N/A,33166.46,33166.46,32654.59
12/15/2022,33202.22,N/A,33773.00,33773.00,33016.16
12/14/2022,33966.35,N/A,34086.07,34395.65,33704.17
12/13/2022,34108.64,N/A,34268.44,34712.28,33890.88
12/12/2022,34005.04,N/A,33519.50,34005.04,33519.50
12/09/2022,33476.46,N/A,33746.71,33844.63,33462.65
12/08/2022,33781.48,N/A,33695.97,33899.17,33642.46
12/07/2022,33597.92,N/A,33556.40,33774.27,33503.67
12/06/2022,33596.34,N/A,33936.87,34006.63,33418.59
12/05/2022,33947.10,N/A,34335.73,34335.73,33846.81
12/02/2022,34429.88,N/A,34265.45,34483.21,34039.73
12/01/2022,34395.01,N/A,34533.59,34595.51,34129.35
11/30/2022,34589.77,N/A,33795.43,34589.77,33583.77
11/29/2022,33852.53,N/A,33847.80,33933.91,33662.45
11/28/2022,33849.46,N/A,34275.91,34303.88,33799.35
11/25/2022,34347.03,N/A,34213.04,34386.51,34199.57
11/23/2022,34194.06,N/A,34091.57,34262.07,34004.64
11/22/2022,34098.10,N/A,33810.05,34115.70,33810.05
11/21/2022,33700.28,N/A,33760.30,33864.59,33559.18
11/18/2022,33745.69,N/A,33606.59,33827.94,33540.64
11/17/2022,33546.32,N/A,33329.27,33616.02,33239.75
11/16/2022,33553.83,N/A,33554.93,33682.83,33516.99
11/15/2022,33592.92,N/A,33755.94,33987.06,33320.20
11/14/2022,33536.70,N/A,33662.05,33964.30,33533.96
11/11/2022,33747.86,N/A,33797.75,33817.96,33394.43
11/10/2022,33715.37,N/A,33263.91,33727.73,33167.82
11/09/2022,32513.94,N/A,33004.47,33065.11,32478.87
11/08/2022,33160.83,N/A,32934.56,33355.39,32831.46
11/07/2022,32827.00,N/A,32454.10,32895.59,32424.99
11/04/2022,32403.22,N/A,32265.01,32611.52,31938.92
11/03/2022,32001.25,N/A,31985.05,32185.71,31727.05
11/02/2022,32147.76,N/A,32576.28,33071.93,32139.77
11/01/2022,32653.20,N/A,32862.79,32975.48,32485.23
10/31/2022,32732.95,N/A,32754.27,32883.86,32586.93
10/28/2022,32861.80,N/A,32204.31,32889.81,32158.38
10/27/2022,32033.28,N/A,32062.14,32388.42,31993.21
10/26/2022,31839.11,N/A,31738.44,32172.42,31738.44
10/25/2022,31836.74,N/A,31463.65,31876.15,31423.53
10/24/2022,31499.62,N/A,31187.32,31603.63,31161.41
10/21/2022,31082.56,N/A,30291.18,31119.27,30206.28
10/20/2022,30333.59,N/A,30411.92,30822.96,30265.20
10/19/2022,30423.81,N/A,30439.04,30662.11,30226.90
10/18/2022,30523.80,N/A,30697.52,30837.90,30301.83
10/17/2022,30185.82,N/A,30059.58,30311.95,29997.62
10/14/2022,29634.83,N/A,30192.21,30428.82,29614.30
10/13/2022,30038.72,N/A,28755.83,30168.54,28660.94
10/12/2022,29210.85,N/A,29233.06,29455.12,29136.03
10/11/2022,29239.19,N/A,29085.20,29608.42,29074.23
10/10/2022,29202.88,N/A,29419.09,29485.82,29010.41
10/07/2022,29296.79,N/A,29685.27,29685.27,29142.66
10/06/2022,29926.94,N/A,30206.13,30329.61,29859.34
10/05/2022,30273.87,N/A,30078.36,30454.46,29886.44
10/04/2022,30316.32,N/A,29826.67,30325.05,29826.67
10/03/2022,29490.89,N/A,28855.25,29647.79,28855.25
09/30/2022,28725.51,N/A,29123.03,29355.78,28715.85
09/29/2022,29225.61,N/A,29513.73,29513.73,28997.34
09/28/2022,29683.74,N/A,29198.92,29811.78,29114.97
09/27/2022,29134.99,N/A,29419.88,29659.12,28958.22
09/26/2022,29260.81,N/A,29536.84,29630.77,29161.12
09/23/2022,29590.41,N/A,29955.65,29955.65,29250.47
09/22/2022,30076.68,N/A,30204.52,30302.28,29994.53
09/21/2022,30183.78,N/A,30819.39,31020.79,30181.99
09/20/2022,30706.23,N/A,30888.53,30888.53,30465.91
09/19/2022,31019.68,N/A,30722.86,31026.89,30559.37
09/16/2022,30822.42,N/A,30866.61,30866.61,30550.08
09/15/2022,30961.82,N/A,31124.68,31277.69,30882.08
09/14/2022,31135.09,N/A,31141.02,31276.82,30885.02
09/13/2022,31104.97,N/A,32006.50,32006.50,31018.54
09/12/2022,32381.34,N/A,32159.49,32504.04,32159.49
09/09/2022,32151.71,N/A,31876.22,32227.74,31876.22
09/08/2022,31774.52,N/A,31481.95,31783.37,31321.50
09/07/2022,31581.28,N/A,31145.63,31644.34,31095.21
09/06/2022,31145.30,N/A,31343.79,31463.89,31048.46
09/02/2022,31318.44,N/A,31848.50,32026.90,31182.09
09/01/2022,31656.42,N/A,31454.58,31677.51,31219.75
08/31/2022,31510.43,N/A,31827.15,31966.04,31509.59
08/30/2022,31790.87,N/A,32163.84,32205.66,31647.22
08/29/2022,32098.99,N/A,32188.00,32325.16,31972.79
08/26/2022,32283.40,N/A,33293.43,33364.70,32278.22
08/25/2022,33291.78,N/A,33029.27,33306.09,32889.85
08/24/2022,32969.23,N/A,32899.01,33095.50,32828.56
08/23/2022,32909.59,N/A,33033.52,33138.26,32858.89
08/22/2022,33063.61,N/A,33586.59,33586.59,33007.63
08/19/2022,33706.74,N/A,33904.69,33904.69,33627.09
08/18/2022,33999.04,N/A,33981.86,34043.83,33844.46
08/17/2022,33980.32,N/A,34029.55,34161.01,33828.41
08/16/2022,34152.01,N/A,33924.35,34281.36,33852.57
08/15/2022,33912.44,N/A,33710.70,33954.71,33582.96
08/12/2022,33761.05,N/A,33430.72,33767.09,33398.32
08/11/2022,33336.67,N/A,33451.51,33651.80,33289.83
08/10/2022,33309.51,N/A,33130.63,33364.41,33130.63
08/09/2022,32774.41,N/A,32807.36,32877.53,32702.66
08/08/2022,32832.54,N/A,32877.36,33109.96,32769.10
08/05/2022,32803.47,N/A,32593.90,32814.61,32489.62
08/04/2022,32726.82,N/A,32805.69,32829.22,32652.63
08/03/2022,32812.50,N/A,32514.21,32912.74,32514.21
08/02/2022,32396.17,N/A,32691.29,32772.93,32387.12
08/01/2022,32798.40,N/A,32755.71,32972.03,32640.79
07/29/2022,32845.13,N/A,32515.62,32910.18,32493.02
07/28/2022,32529.63,N/A,32197.62,32609.54,31982.61
07/27/2022,32197.59,N/A,31865.05,32336.23,31799.43
07/26/2022,31761.54,N/A,31950.04,31950.04,31705.36
07/25/2022,31990.04,N/A,31950.93,32029.03,31821.67
07/22/2022,31899.29,N/A,32167.92,32219.25,31731.47
07/21/2022,32036.90,N/A,31826.49,32040.63,31534.08
07/20/2022,31874.84,N/A,31829.99,31944.45,31646.95
07/19/2022,31827.05,N/A,31165.91,31842.25,31165.91
07/18/2022,31072.61,N/A,31475.98,31644.68,30982.97
07/15/2022,31288.26,N/A,30775.37,31288.26,30775.37
07/14/2022,30630.17,N/A,30451.80,30680.12,30143.93
07/13/2022,30772.79,N/A,30743.63,30979.17,30514.61
07/12/2022,30981.33,N/A,31113.31,31346.10,30860.51
07/11/2022,31173.84,N/A,31277.98,31367.55,31114.40
07/08/2022,31338.15,N/A,31348.43,31511.46,31212.45
07/07/2022,31384.55,N/A,31190.65,31421.84,31154.64
07/06/2022,31037.68,N/A,30957.30,31224.69,30794.84
07/05/2022,30967.82,N/A,30903.12,30971.74,30355.12
07/01/2022,31097.26,N/A,30737.77,31139.35,30487.79
06/30/2022,30775.43,N/A,30790.00,30979.85,30431.87
06/29/2022,31029.31,N/A,31067.41,31152.96,30894.53
06/28/2022,30946.99,N/A,31549.05,31885.09,30934.33
06/27/2022,31438.26,N/A,31533.60,31598.59,31351.37
06/24/2022,31500.68,N/A,30846.94,31517.29,30846.94
06/23/2022,30677.36,N/A,30570.33,30715.63,30293.40
06/22/2022,30483.13,N/A,30352.57,30777.92,30166.01
06/21/2022,30530.25,N/A,30074.69,30653.98,30074.69
06/17/2022,29888.78,N/A,29912.70,30167.52,29653.29
06/16/2022,29927.07,N/A,30305.74,30305.74,29740.35
06/15/2022,30668.53,N/A,30570.50,31011.97,30185.08
06/14/2022,30364.83,N/A,30592.34,30690.80,30144.23
06/13/2022,30516.74,N/A,31144.91,31144.91,30373.72
06/10/2022,31392.79,N/A,32053.52,32053.52,31387.84
06/09/2022,32272.79,N/A,32828.62,32956.73,32267.78
06/08/2022,32910.90,N/A,33087.07,33156.50,32824.37
06/07/2022,33180.14,N/A,32783.03,33207.45,32641.85
06/06/2022,32915.78,N/A,33032.04,33235.37,32819.50
06/03/2022,32899.70,N/A,32986.32,33135.61,32839.21
06/02/2022,33248.28,N/A,32809.01,33248.61,32509.43
06/01/2022,32813.23,N/A,33156.31,33272.34,32584.76
05/31/2022,32990.12,N/A,33160.59,33240.22,32752.34
05/27/2022,33212.96,N/A,32735.09,33213.62,32682.01
05/26/2022,32637.19,N/A,32248.17,32774.14,32248.17
05/25/2022,32120.28,N/A,31816.31,32254.44,31754.33
05/24/2022,31928.62,N/A,31717.61,32014.86,31365.59
05/23/2022,31880.24,N/A,31395.89,31968.42,31395.89
05/20/2022,31261.90,N/A,31426.94,31515.78,30635.76
05/19/2022,31253.13,N/A,31262.62,31569.13,31016.41
05/18/2022,31490.07,N/A,32468.67,32468.67,31393.95
05/17/2022,32654.59,N/A,32427.00,32689.14,32308.15
05/16/2022,32223.42,N/A,32152.15,32514.02,31928.18
05/13/2022,32196.66,N/A,31963.86,32276.05,31862.79
05/12/2022,31730.30,N/A,31699.04,31914.46,31228.22
05/11/2022,31834.11,N/A,32123.24,32584.02,31798.86
05/10/2022,32160.74,N/A,32504.09,32752.17,31887.89
05/09/2022,32245.70,N/A,32685.17,32685.17,32121.98
05/06/2022,32899.37,N/A,32773.88,33055.84,32474.69
05/05/2022,32997.97,N/A,33854.17,33854.17,32685.10
05/04/2022,34061.06,N/A,33171.80,34117.74,33021.84
05/03/2022,33128.79,N/A,33086.09,33341.58,32914.75
05/02/2022,33061.50,N/A,32978.49,33224.95,32449.87
04/29/2022,32977.21,N/A,33787.01,33919.59,32913.15
04/28/2022,33916.39,N/A,33425.96,34054.79,33248.46
04/27/2022,33301.93,N/A,33450.92,33697.18,33108.89
04/26/2022,33240.18,N/A,33907.49,33909.51,33230.95
04/25/2022,34049.46,N/A,33731.65,34106.01,33323.37
04/22/2022,33811.40,N/A,34727.38,34727.38,33773.39
04/21/2022,34792.76,N/A,35258.80,35492.22,34723.82
04/20/2022,35160.79,N/A,34962.67,35315.40,34962.67
04/19/2022,34911.20,N/A,34394.62,34983.11,34394.62
04/18/2022,34411.69,N/A,34411.49,34618.29,34279.08
04/14/2022,34451.23,N/A,34628.46,34889.17,34437.50
04/13/2022,34564.59,N/A,34166.64,34598.36,34140.64
04/12/2022,34220.36,N/A,34412.51,34669.97,34102.81
04/11/2022,34308.08,N/A,34630.27,34701.34,34272.29
04/08/2022,34721.12,N/A,34569.24,34908.46,34470.19
04/07/2022,34583.57,N/A,34439.24,34705.83,34190.95
04/06/2022,34496.51,N/A,34520.34,34609.84,34277.17
04/05/2022,34641.18,N/A,34876.33,35112.21,34566.04
04/04/2022,34921.88,N/A,34799.98,34940.78,34615.38
04/01/2022,34818.27,N/A,34740.89,34847.91,34538.25
03/31/2022,34678.35,N/A,35201.52,35201.52,34677.99
03/30/2022,35228.81,N/A,35273.63,35361.36,35058.58
03/29/2022,35294.19,N/A,35114.35,35372.26,35030.07
03/28/2022,34955.89,N/A,34833.03,34957.93,34552.23
03/25/2022,34861.24,N/A,34702.39,34942.70,34631.52
03/24/2022,34707.94,N/A,34406.81,34713.56,34355.42
03/23/2022,34358.50,N/A,34748.84,34748.84,34352.96
03/22/2022,34807.46,N/A,34583.24,34882.03,34583.24
03/21/2022,34552.99,N/A,34669.85,34808.28,34341.81
03/18/2022,34754.93,N/A,34466.72,34755.20,34279.83
03/17/2022,34480.76,N/A,33995.39,34483.92,33896.06
03/16/2022,34063.10,N/A,33653.93,34075.94,33391.24
03/15/2022,33544.34,N/A,32989.27,33620.84,32989.27
03/14/2022,32945.24,N/A,33000.37,33395.59,32818.16
03/11/2022,32944.19,N/A,33279.72,33515.61,32911.89
03/10/2022,33174.07,N/A,33106.77,33236.59,32819.76
03/09/2022,33286.25,N/A,32860.42,33457.28,32860.42
03/08/2022,32632.64,N/A,32885.17,33402.98,32578.73
03/07/2022,32817.38,N/A,33579.75,33579.75,32806.15
03/04/2022,33614.80,N/A,33655.43,33655.43,33254.12
03/03/2022,33794.66,N/A,33972.87,34179.07,33641.53
03/02/2022,33891.35,N/A,33379.51,34013.67,33379.51
03/01/2022,33294.95,N/A,33813.48,33870.14,33107.67
02/28/2022,33892.60,N/A,33870.62,33963.63,33469.31
02/25/2022,34058.75,N/A,33277.22,34095.74,33277.22
02/24/2022,33223.83,N/A,32830.33,33269.34,32272.64
02/23/2022,33131.76,N/A,33680.97,33832.59,33084.90
02/22/2022,33596.61,N/A,33974.09,34024.74,33364.29
02/18/2022,34079.18,N/A,34310.45,34423.58,33976.18
02/17/2022,34312.03,N/A,34858.47,34858.47,34246.23
02/16/2022,34934.27,N/A,34951.83,35042.09,34642.64
02/15/2022,34988.84,N/A,34686.19,35047.79,34686.19
02/14/2022,34566.17,N/A,34694.50,34744.56,34304.28
02/11/2022,34738.06,N/A,35267.89,35431.15,34620.52
02/10/2022,35241.59,N/A,35630.81,35800.24,35100.72
02/09/2022,35768.06,N/A,35614.90,35824.28,35614.90
02/08/2022,35462.78,N/A,35160.68,35544.89,35090.42
02/07/2022,35091.13,N/A,35108.38,35325.01,34993.98
02/04/2022,35089.74,N/A,35095.74,35333.55,34799.08
02/03/2022,35111.16,N/A,35520.08,35535.94,35071.06
02/02/2022,35629.33,N/A,35378.19,35679.20,35290.12
02/01/2022,35405.24,N/A,35151.47,35441.09,34977.95
01/31/2022,35131.86,N/A,34691.17,35148.14,34496.10
01/28/2022,34725.47,N/A,34135.24,34731.77,33807.51
01/27/2022,34160.78,N/A,34261.75,34773.32,34007.78
01/26/2022,34168.09,N/A,34520.82,34815.67,33876.48
01/25/2022,34297.73,N/A,34186.64,34591.04,33545.52
01/24/2022,34364.50,N/A,34070.61,34420.99,33150.33
01/21/2022,34265.37,N/A,34701.69,34896.67,34229.55
01/20/2022,34715.39,N/A,35102.66,35490.20,34670.12
01/19/2022,35028.65,N/A,35412.30,35547.83,35015.49
01/18/2022,35368.47,N/A,35661.76,35661.76,35262.02
01/14/2022,35911.81,N/A,35996.43,35996.43,35641.49
01/13/2022,36113.62,N/A,36312.49,36513.88,36044.22
01/12/2022,36290.32,N/A,36336.16,36453.49,36168.15
01/11/2022,36252.02,N/A,36058.85,36271.47,35769.38
01/10/2022,36068.87,N/A,36175.21,36175.21,35639.91
01/07/2022,36231.66,N/A,36249.59,36382.84,36111.53
01/06/2022,36236.47,N/A,36409.05,36464.19,36200.68
01/05/2022,36407.11,N/A,36722.60,36952.65,36400.39
01/04/2022,36799.65,N/A,36636.00,36934.84,36636.00
01/03/2022,36585.06,N/A,36321.59,36595.82,36246.45
12/31/2021,36338.30,N/A,36385.85,36484.94,36303.97
12/30/2021,36398.08,N/A,36522.48,36679.44,36372.13
12/29/2021,36488.63,N/A,36421.14,36571.55,36396.19
12/28/2021,36398.21,N/A,36302.99,36527.26,36302.99
12/27/2021,36302.38,N/A,35954.48,36306.61,35954.48
12/23/2021,35950.56,N/A,35782.42,36060.99,35782.42
12/22/2021,35753.89,N/A,35491.71,35764.67,35433.13
12/21/2021,35492.70,N/A,35069.50,35508.96,35069.50
12/20/2021,34932.16,N/A,35222.12,35222.12,34665.50
12/17/2021,35365.44,N/A,35800.11,35800.11,35284.26
12/16/2021,35897.64,N/A,36036.28,36189.83,35778.21
